DEMOGRAPHICS,DEMOGRAPHICS,DEMOGRAPHICS,DEMOGRAPHICS,,"PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS",,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,,SPENDING HABITS,,HEALTH HABITS,HEALTH HABITS,,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,,MOVIE PREFERENCES,MOVIE PREFERENCES,MOVIE PREFERENCES,MOVIE PREFERENCES,,PHOBIAS
college/bachelor degree,74,no,block of flats,,5,3,5,1,4,4,5,4,2,4,3,5,1,,3,5,1,few hours a day,3,3,1,1,,3,,4,current smoker,,1,3,3,2,3,,4,3,2,3,,1
college/bachelor degree,72,no,block of flats,,5,2,5,3,3,4,4,5,2,4,3,4,4,,4,4,2,most of the day,4,4,4,2,,2,,4,tried smoking,,2,3,4,2,2,,4,4,2,3,,2
secondary school,56,no,block of flats,,4,2,5,5,3,4,5,4,2,4,4,2,5,,3,3,1,few hours a day,5,4,3,1,,5,,5,current smoker,,4,3,4,5,3,,5,4,4,4,,4
secondary school,81,no,block of flats,,5,1,4,4,3,4,4,4,2,5,4,1,5,,4,5,3,few hours a day,5,5,4,1,,3,,4,never smoked,,4,5,4,5,5,,5,5,5,5,,5
college/bachelor degree,78,no,block of flats,,5,3,3,3,1,5,5,2,4,3,3,4,4,,3,3,1,few hours a day,5,3,3,1,,5,,3,tried smoking,,3,1,2,,5,,4,5,3,3,,2
primary school,52,yes,block of flats,,3,2,1,5,5,5,2,5,1,5,4,3,5,,5,1,5,most of the day,5,2,1,1,,5,,5,former smoker,,3,2,1,3,2,,1,1,5,5,,5
primary school,84,yes,block of flats,,2,2,1,3,5,3,5,1,2,3,3,2,4,,3,5,1,few hours a day,3,3,3,1,,3,,2,tried smoking,,2,2,2,3,4,,5,5,4,4,,4
secondary school,83,no,house/bungalow,,2,3,5,2,3,2,5,3,2,3,3,2,3,,2,4,2,less than an hour a day,4,3,3,1,,3,,3,tried smoking,,4,1,2,4,3,,5,4,5,5,,1
college/bachelor degree,58,yes,house/bungalow,,4,3,5,3,1,3,1,5,2,4,2,3,4,,4,3,2,few hours a day,5,1,3,4,,2,,2,never smoked,,5,1,2,4,4,,1,3,1,4,,2
college/bachelor degree,50,no,house/bungalow,,3,3,5,4,5,3,5,5,3,2,2,2,3,,4,3,5,few hours a day,5,2,4,1,,3,,2,tried smoking,,2,2,2,3,1,,4,2,5,5,,1
secondary school,47,no,block of flats,,3,3,4,4,3,2,1,5,4,3,4,2,4,,3,1,5,most of the day,5,1,3,1,,3,,4,tried smoking,,4,2,1,1,1,,1,1,5,3,,1
secondary school,82,yes,house/bungalow,,3,3,3,3,3,3,1,4,2,2,5,2,4,,3,1,1,few hours a day,5,3,5,2,,2,,3,former smoker,,2,1,2,5,5,,3,3,3,2,,3
secondary school,83,yes,block of flats,,4,3,5,3,3,4,4,4,2,4,3,3,3,,2,4,1,few hours a day,5,2,3,1,,2,,5,tried smoking,,1,1,4,2,4,,1,3,4,3,,5
secondary school,52,no,block of flats,,4,1,2,5,5,4,5,2,2,3,3,2,3,,3,2,1,few hours a day,5,3,5,2,,2,,4,former smoker,,5,1,2,2,4,,3,5,5,5,,3
secondary school,80,yes,house/bungalow,,5,3,1,5,3,3,5,3,1,3,4,3,3,,5,4,2,few hours a day,5,5,5,1,,4,,5,former smoker,,4,1,2,3,5,,3,4,5,5,,5
masters degree,80,no,block of flats,,5,3,5,4,3,4,2,5,2,5,4,5,5,,5,4,1,few hours a day,4,3,5,1,,5,,2,tried smoking,,1,4,5,2,5,,4,1,1,3,,3
secondary school,77,no,house/bungalow,,4,2,1,3,1,5,3,4,2,5,3,4,5,,5,5,1,few hours a day,5,4,5,1,,4,,5,tried smoking,,4,2,3,3,3,,1,3,2,1,,1
secondary school,75,no,,,5,2,1,,2,3,5,2,1,4,4,4,5,,3,2,1,few hours a day,5,4,3,1,,2,,4,tried smoking,,1,1,2,4,4,,3,2,2,1,,1
secondary school,60,no,block of flats,,3,4,5,5,3,4,3,3,3,3,4,3,3,,5,5,5,few hours a day,5,1,5,1,,5,,4,tried smoking,,5,1,2,5,4,,1,2,5,5,,2
college/bachelor degree,57,no,house/bungalow,,5,2,3,5,1,3,1,4,4,5,4,1,5,,5,5,5,few hours a day,5,4,5,5,,1,,3,never smoked,,5,2,1,4,4,,2,3,5,5,,5
secondary school,63,no,house/bungalow,,3,2,5,5,1,3,5,5,2,1,4,2,2,,5,3,1,few hours a day,5,3,4,2,,3,,3,former smoker,,4,4,3,4,5,,5,4,5,5,,2
secondary school,48,no,block of flats,,4,4,5,5,4,4,5,3,1,2,3,4,5,,3,2,1,few hours a day,5,3,4,1,,1,,4,tried smoking,,5,2,2,4,4,,3,4,5,5,,1
secondary school,80,no,block of flats,,4,1,4,4,2,4,2,3,2,4,3,3,4,,4,3,2,few hours a day,5,5,3,1,,4,,2,tried smoking,,5,3,3,4,4,,5,3,4,5,,1
secondary school,47,no,block of flats,,3,3,1,5,3,4,4,4,3,2,3,1,5,,4,3,1,few hours a day,4,1,5,4,,1,,2,never smoked,,1,3,3,1,1,,4,2,5,5,,1
secondary school,53,no,block of flats,,5,3,5,5,5,5,5,1,3,3,2,1,4,,4,2,3,few hours a day,5,3,5,3,,1,,5,former smoker,,5,3,4,5,3,,1,5,5,5,,3
secondary school,48,yes,block of flats,,5,1,5,5,5,5,5,4,2,5,4,1,4,,5,5,4,few hours a day,5,4,5,1,,5,,5,former smoker,,3,5,5,1,4,,5,5,5,3,,1
college/bachelor degree,53,no,block of flats,,4,3,1,4,1,3,1,4,2,3,2,2,5,,3,3,2,most of the day,4,5,5,2,,4,,3,tried smoking,,2,3,5,3,1,,3,3,5,5,,1
masters degree,65,no,block of flats,,4,3,5,3,3,4,2,4,2,5,4,5,4,,4,5,4,few hours a day,5,4,5,2,,4,,2,current smoker,,2,3,3,4,4,,4,4,4,3,,3
college/bachelor degree,50,no,house/bungalow,,4,3,2,3,2,4,5,4,2,3,3,5,5,,5,4,2,few hours a day,5,2,3,1,,3,,3,former smoker,,5,1,2,4,3,,1,5,2,3,,5
secondary school,75,yes,block of flats,,3,5,5,5,1,3,5,5,1,5,5,5,5,,5,5,1,few hours a day,5,1,3,2,,5,,5,former smoker,,5,1,5,5,1,,2,5,3,3,,1
masters degree,50,no,house/bungalow,,4,2,5,5,3,4,3,4,2,4,4,4,3,,4,3,1,few hours a day,4,1,3,1,,2,,4,tried smoking,,2,3,4,3,1,,2,4,3,3,,4
secondary school,58,no,house/bungalow,,3,2,3,2,5,3,5,4,1,1,3,1,4,,4,1,2,most of the day,5,1,4,1,,4,,4,tried smoking,,1,1,3,3,1,,2,2,5,5,,5
secondary school,50,no,house/bungalow,,3,3,1,1,3,3,5,3,1,5,4,3,3,,5,1,1,few hours a day,5,5,5,1,,5,,3,never smoked,,1,1,,1,1,,3,4,5,5,,5
college/bachelor degree,63,yes,block of flats,,4,4,2,5,3,4,2,5,2,5,4,2,4,,5,4,2,few hours a day,4,2,5,1,,4,,2,never smoked,,3,4,4,1,1,,3,3,4,4,,1
masters degree,80,no,house/bungalow,,2,2,2,2,1,2,5,,5,1,2,2,1,,2,5,2,few hours a day,5,5,4,1,,3,,1,current smoker,,1,4,4,1,1,,4,3,4,3,,1
secondary school,68,no,block of flats,,3,1,4,5,3,4,5,2,2,3,1,2,4,,4,3,2,most of the day,4,5,4,1,,4,,4,tried smoking,,1,1,1,5,5,,4,5,3,2,,1
college/bachelor degree,75,no,house/bungalow,,4,2,5,4,3,4,5,4,1,3,2,5,3,,4,5,1,few hours a day,5,5,4,1,,5,,2,tried smoking,,3,2,4,3,5,,5,3,4,4,,4
college/bachelor degree,81,no,block of flats,,3,3,1,3,4,2,2,3,4,4,2,1,3,,1,1,4,few hours a day,5,1,1,1,,1,,2,former smoker,,1,1,1,1,3,,5,1,5,5,,1
primary school,75,no,block of flats,,4,1,5,2,5,2,5,4,4,2,3,1,3,,4,1,1,most of the day,3,5,4,2,,1,,1,tried smoking,,1,1,1,2,5,,5,3,5,3,,1
secondary school,70,no,house/bungalow,,5,2,1,5,2,5,5,5,5,3,1,1,5,,5,5,1,few hours a day,5,4,5,1,,4,,3,former smoker,,5,1,1,5,1,,5,3,3,1,,3
secondary school,50,no,house/bungalow,,5,5,4,5,2,3,2,4,3,4,4,3,5,,4,5,5,less than an hour a day,4,1,5,1,,2,,4,never smoked,,4,1,2,4,2,,2,1,3,4,,2
secondary school,71,no,block of flats,,4,4,5,3,1,5,3,2,3,4,4,1,4,,4,2,5,few hours a day,5,5,4,3,,1,,1,tried smoking,,3,2,4,4,4,,3,2,5,5,,1
secondary school,90,no,house/bungalow,,2,2,1,3,3,4,5,4,3,4,3,3,4,,3,4,1,few hours a day,5,3,3,1,,2,,2,tried smoking,,1,2,3,1,1,,4,4,5,4,,1
secondary school,55,yes,block of flats,,3,3,3,,3,2,3,3,4,4,3,4,3,,5,5,4,few hours a day,5,4,5,2,,3,,3,tried smoking,,2,4,5,1,1,,5,5,5,5,,2
secondary school,80,yes,house/bungalow,,5,1,5,1,1,5,4,5,1,5,5,5,5,,5,5,1,few hours a day,5,5,4,1,,1,,4,tried smoking,,5,4,,5,5,,4,5,5,2,,4
secondary school,70,no,block of flats,,5,1,5,5,1,4,2,5,2,5,4,5,5,,3,4,2,few hours a day,4,3,3,2,,2,,1,tried smoking,,3,2,4,3,3,,3,4,4,4,,1
college/bachelor degree,74,no,house/bungalow,,4,3,3,4,4,2,2,5,3,4,3,2,3,,3,1,4,few hours a day,3,3,5,3,,2,,3,never smoked,,1,2,3,1,1,,1,2,5,4,,1
secondary school,80,no,block of flats,,5,3,5,5,5,3,5,4,2,4,3,4,5,,5,3,1,few hours a day,5,4,4,1,,1,,2,former smoker,,5,4,5,4,4,,5,3,5,5,,3
secondary school,55,no,house/bungalow,,5,1,4,5,1,3,5,4,1,3,5,5,5,,1,2,5,less than an hour a day,5,1,4,2,,3,,3,tried smoking,,2,,2,1,1,,2,1,3,3,,1
primary school,61,no,block of flats,,4,2,3,5,4,4,2,2,3,2,2,1,4,,4,1,1,few hours a day,2,4,1,1,,4,,1,never smoked,,2,3,4,2,2,,3,5,4,4,,5
secondary school,65,yes,block of flats,,2,2,1,3,4,4,4,4,2,4,3,4,4,,3,2,2,few hours a day,4,5,3,1,,4,,3,tried smoking,,3,4,4,2,2,,5,4,3,3,,1
college/bachelor degree,70,no,house/bungalow,,3,5,4,5,2,5,2,5,2,3,3,3,5,,4,5,1,few hours a day,4,2,5,1,,4,,3,former smoker,,4,1,3,4,1,,4,2,3,4,,2
college/bachelor degree,56,no,house/bungalow,,2,1,1,5,5,5,5,4,2,2,3,2,4,,5,3,2,most of the day,5,1,5,2,,1,,2,tried smoking,,2,4,5,4,3,,2,2,4,5,,1
secondary school,54,no,block of flats,,4,3,5,3,3,4,3,3,2,3,3,1,4,,4,3,4,less than an hour a day,4,1,4,3,,2,,3,never smoked,,5,1,4,4,1,,3,3,4,4,,2
college/bachelor degree,60,no,house/bungalow,,4,4,2,4,3,3,3,2,3,3,4,3,4,,1,2,3,few hours a day,4,2,5,5,,4,,3,former smoker,,2,1,1,4,,,1,3,5,5,,1
secondary school,54,no,house/bungalow,,5,3,5,3,2,4,3,4,3,3,4,3,2,,5,3,1,less than an hour a day,5,3,4,2,,3,,3,former smoker,,1,4,3,2,2,,2,4,5,5,,3
secondary school,62,yes,block of flats,,5,5,5,3,3,5,5,5,2,3,3,5,5,,5,4,3,few hours a day,5,3,4,3,,5,,4,tried smoking,,5,2,5,5,3,,3,5,5,3,,5
college/bachelor degree,61,no,block of flats,,3,4,5,5,3,4,2,5,3,5,4,3,3,,4,1,3,few hours a day,4,1,3,1,,1,,4,former smoker,,2,1,2,2,1,,3,2,5,5,,3
secondary school,55,no,house/bungalow,,4,2,2,5,3,4,3,4,4,5,4,3,4,,2,2,1,few hours a day,2,5,4,2,,1,,5,never smoked,,4,1,1,2,1,,2,2,2,4,,2
college/bachelor degree,60,no,block of flats,,4,5,4,5,2,2,2,3,2,4,3,4,3,,3,4,2,few hours a day,4,4,5,2,,2,,3,never smoked,,2,1,4,1,2,,2,2,2,2,,2
secondary school,54,no,house/bungalow,,4,5,1,4,3,4,4,5,4,5,4,2,5,,1,4,4,few hours a day,3,1,4,2,,1,,4,tried smoking,,2,2,3,4,2,,1,3,3,3,,1
college/bachelor degree,90,yes,block of flats,,5,5,5,1,2,2,1,5,4,5,2,5,5,,4,5,5,most of the day,5,4,5,1,,1,,2,never smoked,,4,2,4,4,1,,2,3,4,4,,1
secondary school,85,no,block of flats,,3,3,1,5,1,3,5,4,3,4,2,4,3,,2,1,2,few hours a day,5,4,4,1,,3,,2,current smoker,,1,1,2,2,4,,3,4,4,3,,2
masters degree,56,yes,house/bungalow,,4,4,5,5,2,2,5,5,3,2,3,4,4,,3,3,1,few hours a day,5,2,4,2,,2,,3,tried smoking,,3,3,5,3,1,,2,4,4,4,,2
secondary school,80,yes,house/bungalow,,4,4,2,4,2,3,4,2,4,3,3,1,3,,3,3,2,few hours a day,5,3,4,4,,1,,3,tried smoking,,3,3,3,3,3,,1,4,4,2,,3
