Education,Weight,Reliability,Questionnaires or polls,Elections,Compassion to animals,Changing the past,Appearence and gestures,Self-criticism,Waiting,Thinking ahead,Parents' advice,Daily events,God,Lifestruggles,Gettingup,Judgment calls,Foreign languages,Chemistry,Pets,Internetusage,Fun with friends,PC,"Countryside, outdoors",Gardening,Health,Alcohol,Smoking,Latino,Opera,Classical music,Dance,"Hiphop, Rap",Sci-fi,Thriller,Animated,Fantasy/Fairy tales,Ageing,Spendingongadgets,Age
primary school,60,3,4,1,2,3,2,5,3,1,4,3,1,4,5,3,2,1,1,sometime of the day,3,4,5,1,2,never,smoker,2,2,4,1,1,2,4,5,5,5,1,17
college/bachelor degree,55,5,2,5,5,3,4,5,2,5,4,4,1,5,3,2,5,5,2,sometime of the day,4,2,5,4,5,social drinker,smoker,2,2,4,1,3,1,5,3,5,5,2,24
secondary school,55,5,2,3,5,2,5,5,3,3,3,5,3,4,5,5,5,1,5,sometime of the day,5,3,5,1,3,social drinker,never smoked,3,1,1,5,2,2,2,4,5,2,3,19
college/bachelor degree,57,5,3,5,5,1,4,5,3,5,4,4,5,5,1,5,3,1,5,most of the day,5,2,3,5,5,social drinker,smoker,1,1,2,2,3,1,3,5,5,5,1,22
secondary school,77,5,4,5,5,5,3,5,1,3,4,2,1,4,3,4,4,2,1,sometime of the day,5,5,5,3,2,social drinker,smoker,2,2,4,2,2,3,5,4,4,1,5,18
college/bachelor degree,65,2,1,2,5,5,4,3,3,5,3,2,4,4,4,4,3,1,5,sometime of the day,5,2,5,1,3,drink a lot,smoker,1,1,1,3,2,2,3,2,2,2,3,19
secondary school,65,5,3,5,5,5,4,4,2,4,1,4,2,5,2,5,2,5,5,sometime of the day,3,3,5,3,4,social drinker,smoker,2,3,2,3,3,5,2,4,4,5,2,20
secondary school,78,4,2,1,2,4,4,2,3,5,3,2,5,1,2,5,4,3,4,sometime of the day,3,5,3,1,3,social drinker,smoker,4,3,4,5,4,5,4,4,4,1,5,18
secondary school,90,4,3,3,1,3,3,3,2,4,2,3,1,1,5,5,4,1,1,sometime of the day,5,5,4,1,3,drink a lot,smoker,4,2,4,3,1,3,4,4,4,2,3,18
secondary school,77,2,4,5,5,3,3,4,3,2,3,3,3,4,3,3,4,4,3,sometime of the day,4,4,5,2,3,never,never smoked,3,4,4,3,4,3,5,3,3,1,4,20
secondary school,85,4,4,5,5,1,3,3,3,2,3,4,3,2,5,2,4,1,5,sometime of the day,5,5,4,3,1,social drinker,smoker,2,2,2,1,1,5,5,4,3,1,2,24
college/bachelor degree,70,4,2,5,5,3,3,1,4,3,3,2,5,4,4,3,3,2,5,sometime of the day,5,3,4,1,3,social drinker,smoker,3,2,3,3,2,4,3,5,4,1,4,22
secondary school,54,4,4,5,5,4,3,5,3,3,2,3,2,4,5,5,4,5,5,sometime of the day,5,3,3,3,4,social drinker,smoker,4,1,2,4,3,4,4,5,5,3,2,20
secondary school,51,3,5,5,5,5,5,4,1,5,4,5,4,5,5,5,5,2,3,sometime of the day,5,4,5,3,5,never,smoker,2,4,4,3,1,2,2,2,2,5,5,19
secondary school,56,5,3,2,4,5,4,5,2,4,4,3,2,5,2,3,5,1,3,sometime of the day,5,2,2,1,3,social drinker,smoker,4,1,2,4,3,1,2,3,4,4,1,20
college/bachelor degree,63,4,4,5,5,3,3,5,4,5,5,3,5,4,4,4,3,5,5,sometime of the day,4,2,5,5,2,social drinker,smoker,5,2,5,5,2,2,2,5,5,2,4,22
secondary school,50,4,2,2,5,2,2,3,3,3,4,3,4,3,1,3,4,5,5,sometime of the day,4,2,3,2,4,social drinker,never smoked,3,2,3,3,2,5,4,4,2,4,2,19
secondary school,80,4,1,3,3,1,5,2,3,4,3,4,2,1,5,5,4,1,3,sometime of the day,5,2,3,1,3,social drinker,smoker,2,1,1,5,5,1,3,4,4,4,1,20
secondary school,60,3,3,3,5,3,5,5,3,5,3,4,4,5,4,4,5,2,2,sometime of the day,5,3,5,3,4,social drinker,smoker,4,2,3,3,3,2,2,5,5,5,2,19
secondary school,87,4,3,1,4,3,4,3,2,3,3,1,5,3,3,3,4,1,3,sometime of the day,5,3,4,1,4,drink a lot,smoker,3,3,3,4,4,4,5,3,3,4,4,25
secondary school,80,4,2,4,4,3,3,2,3,4,3,3,5,4,3,3,4,2,1,sometime of the day,4,2,5,3,2,social drinker,smoker,5,2,2,4,3,2,1,5,5,1,2,22
secondary school,46,1,3,1,5,1,2,1,2,2,3,3,3,3,5,5,3,1,5,sometime of the day,5,4,2,1,1,social drinker,smoker,2,1,2,3,4,2,5,5,5,1,1,20
masters degree,70,5,2,5,4,1,3,5,3,1,4,5,1,4,1,5,5,3,5,sometime of the day,5,4,5,4,2,social drinker,smoker,2,5,4,2,1,1,4,4,5,1,2,27
college/bachelor degree,67,4,2,5,1,4,3,4,4,3,2,5,5,1,2,3,5,1,1,sometime of the day,5,4,5,1,2,social drinker,smoker,2,1,3,3,2,4,3,5,2,1,1,20
secondary school,72,5,1,5,5,1,3,1,1,2,3,3,5,3,5,5,5,1,5,sometime of the day,5,3,3,3,3,social drinker,smoker,5,1,4,3,4,3,2,1,1,5,1,19
secondary school,65,5,4,3,5,1,4,4,2,4,5,3,1,4,2,4,4,5,5,sometime of the day,5,3,4,2,3,social drinker,never smoked,1,4,3,1,1,4,5,5,5,3,2,18
secondary school,101,5,3,3,5,3,3,3,1,4,3,5,1,1,3,5,4,3,3,sometime of the day,5,3,5,5,3,social drinker,smoker,1,1,5,1,1,3,2,2,2,3,3,21
secondary school,60,4,3,5,5,3,5,3,3,5,4,3,5,4,4,5,5,1,5,sometime of the day,5,2,4,4,3,social drinker,smoker,3,4,5,5,4,3,4,5,5,1,1,23
secondary school,46,4,4,1,4,5,4,4,2,3,3,2,3,5,2,2,1,5,5,sometime of the day,3,2,5,2,3,never,never smoked,1,2,2,3,1,3,5,5,5,3,3,21
secondary school,62,5,3,1,4,3,4,3,3,4,1,4,2,3,2,4,3,1,2,sometime of the day,2,4,3,1,3,social drinker,never smoked,2,1,1,4,3,2,5,2,2,3,2,26
college/bachelor degree,80,3,3,1,1,1,3,5,3,5,3,3,3,2,2,3,3,5,3,sometime of the day,5,5,5,1,1,social drinker,smoker,5,1,5,5,5,5,5,1,1,1,1,20
secondary school,90,5,2,1,5,2,3,3,5,5,2,3,4,2,3,3,5,2,5,sometime of the day,5,5,3,1,2,never,never smoked,3,1,3,2,3,5,4,5,5,1,4,19
college/bachelor degree,55,5,3,4,3,3,3,5,2,4,3,3,1,3,4,3,5,1,5,most of the day,5,3,3,1,3,drink a lot,smoker,3,1,2,3,3,3,1,5,5,2,5,20
masters degree,67,4,4,5,5,3,4,2,2,3,3,5,5,5,1,5,3,2,5,sometime of the day,5,3,3,2,4,social drinker,smoker,5,3,3,4,3,3,4,4,5,3,3,25
masters degree,78,5,3,1,5,5,5,5,2,5,1,5,3,2,1,5,2,1,4,most of the day,5,5,2,1,5,social drinker,never smoked,4,4,4,5,3,4,4,1,2,5,4,27
college/bachelor degree,55,5,2,1,3,3,3,3,2,3,4,3,3,2,5,3,5,1,4,sometime of the day,5,4,5,1,3,social drinker,smoker,5,2,1,4,5,5,5,2,3,1,3,21
secondary school,60,4,1,2,2,2,4,3,1,3,3,3,2,2,3,3,5,1,5,sometime of the day,5,3,3,1,5,social drinker,smoker,3,3,2,3,1,2,3,5,3,3,3,19
secondary school,70,5,3,5,4,2,4,5,3,3,3,3,1,2,1,5,5,2,2,sometime of the day,3,2,4,2,5,social drinker,smoker,4,1,1,3,5,2,2,2,2,5,3,20
primary school,41,3,1,1,4,4,3,3,2,2,3,2,2,2,2,3,4,1,5,sometime of the day,5,3,2,1,2,social drinker,smoker,1,1,2,2,3,3,4,3,5,3,5,20
college/bachelor degree,60,3,3,4,4,1,4,5,2,5,3,3,5,4,3,5,4,5,5,sometime of the day,4,2,3,1,4,social drinker,smoker,5,2,5,2,4,2,5,4,4,2,2,19
secondary school,75,5,4,5,5,1,4,3,2,4,4,3,5,4,2,3,4,5,4,sometime of the day,4,5,3,2,3,never,never smoked,5,2,4,3,2,4,4,5,5,1,2,19
secondary school,58,3,1,4,4,1,4,3,2,4,3,1,5,3,4,5,4,4,3,sometime of the day,5,2,5,3,4,social drinker,smoker,5,5,5,5,5,5,5,5,5,3,1,21
secondary school,51,5,4,5,3,5,1,3,1,5,4,3,5,2,5,5,5,2,1,sometime of the day,5,2,4,3,3,social drinker,smoker,5,5,4,4,3,1,3,3,5,1,2,18
college/bachelor degree,57,5,3,3,5,3,4,4,3,5,3,2,3,3,3,5,4,4,1,sometime of the day,5,1,5,1,3,social drinker,smoker,5,5,5,5,3,5,5,5,5,1,3,21
college/bachelor degree,45,4,3,3,5,5,2,5,1,3,2,3,3,2,3,5,5,4,5,sometime of the day,4,4,4,1,4,drink a lot,smoker,4,3,4,4,4,2,4,4,4,3,3,23
secondary school,64,5,3,3,5,1,4,5,3,4,3,2,1,3,5,5,5,1,3,sometime of the day,5,4,3,2,4,drink a lot,smoker,1,4,4,1,2,3,2,4,4,5,3,20
secondary school,45,4,2,4,5,5,4,5,1,5,5,2,4,5,5,5,3,1,5,sometime of the day,5,1,5,1,5,drink a lot,smoker,1,2,3,3,2,5,4,5,5,4,2,21
secondary school,71,5,4,4,5,4,5,5,1,5,4,4,1,3,3,5,4,4,3,sometime of the day,5,3,4,3,5,social drinker,never smoked,3,1,3,5,2,3,4,3,3,5,2,19
college/bachelor degree,74,5,3,5,1,4,4,4,2,4,3,5,4,2,5,1,3,1,1,sometime of the day,3,3,1,1,4,drink a lot,smoker,1,3,3,2,3,4,3,2,3,1,2,22
college/bachelor degree,72,5,2,5,3,3,4,5,2,4,3,4,3,1,4,4,4,2,1,most of the day,4,4,4,2,4,social drinker,smoker,2,3,4,2,2,4,4,2,3,2,1,23
secondary school,56,4,2,5,5,3,4,4,2,4,4,2,2,4,4,5,3,1,5,sometime of the day,5,4,3,1,5,social drinker,smoker,4,3,4,5,3,5,4,4,4,4,4,23
secondary school,81,5,1,4,4,3,4,4,2,5,4,1,1,1,3,5,4,3,1,sometime of the day,5,5,4,1,4,social drinker,never smoked,4,5,4,5,5,5,5,5,5,5,2,23
college/bachelor degree,78,5,3,3,3,1,5,2,4,3,3,4,3,1,4,4,3,1,3,sometime of the day,5,3,3,1,3,social drinker,smoker,3,1,2,,5,4,5,3,3,2,4,22
primary school,52,3,2,1,5,5,5,5,1,5,4,3,4,5,5,5,5,5,5,most of the day,5,2,1,1,5,social drinker,smoker,3,2,1,3,2,1,1,5,5,5,5,18
primary school,84,2,2,1,3,5,3,1,2,3,3,2,5,1,5,4,3,1,3,sometime of the day,3,3,3,1,2,social drinker,smoker,2,2,2,3,4,5,5,4,4,4,5,17
secondary school,83,2,3,5,2,3,2,3,2,3,3,2,4,3,3,3,2,2,1,sometime of the day,4,3,3,1,3,social drinker,smoker,4,1,2,4,3,5,4,5,5,1,4,20
college/bachelor degree,58,4,3,5,3,1,3,5,2,4,2,3,4,3,1,4,4,2,4,sometime of the day,5,1,3,4,2,never,never smoked,5,1,2,4,4,1,3,1,4,2,1,24
college/bachelor degree,50,3,3,5,4,5,3,5,3,2,2,2,5,3,4,3,4,5,4,sometime of the day,5,2,4,1,2,drink a lot,smoker,2,2,2,3,1,4,2,5,5,1,4,18
secondary school,47,3,3,4,4,3,2,5,4,3,4,2,5,3,3,4,3,5,4,most of the day,5,1,3,1,4,social drinker,smoker,4,2,1,1,1,1,1,5,3,1,4,20
secondary school,82,3,3,3,3,3,3,4,2,2,5,2,3,3,3,4,3,1,2,sometime of the day,5,3,5,2,3,social drinker,smoker,2,1,2,5,5,3,3,3,2,3,3,17
secondary school,83,4,3,5,3,3,4,4,2,4,3,3,4,1,3,3,2,1,5,sometime of the day,5,2,3,1,5,never,smoker,1,1,4,2,4,1,3,4,3,5,1,20
secondary school,52,4,1,2,5,5,4,2,2,3,3,2,5,5,2,3,3,1,2,sometime of the day,5,3,5,2,4,social drinker,smoker,5,1,2,2,4,3,5,5,5,3,2,28
secondary school,80,5,3,1,5,3,3,3,1,3,4,3,5,3,5,3,5,2,5,sometime of the day,5,5,5,1,5,social drinker,smoker,4,1,2,3,5,3,4,5,5,5,2,21
masters degree,80,5,3,5,4,3,4,5,2,5,4,5,5,1,1,5,5,1,3,sometime of the day,4,3,5,1,2,social drinker,smoker,1,4,5,2,5,4,1,1,3,3,1,22
secondary school,77,4,2,1,3,1,5,4,2,5,3,4,5,1,4,5,5,1,4,sometime of the day,5,4,5,1,5,drink a lot,smoker,4,2,3,3,3,1,3,2,1,1,4,20
secondary school,75,5,2,1,,2,3,2,1,4,4,4,5,4,4,5,3,1,3,sometime of the day,5,4,3,1,4,social drinker,smoker,1,1,2,4,4,3,2,2,1,1,2,18
secondary school,60,3,4,5,5,3,4,3,3,3,4,3,1,2,3,3,5,5,1,sometime of the day,5,1,5,1,4,social drinker,smoker,5,1,2,5,4,1,2,5,5,2,2,21
college/bachelor degree,57,5,2,3,5,1,3,4,4,5,4,1,1,5,4,5,5,5,3,sometime of the day,5,4,5,5,3,never,never smoked,5,2,1,4,4,2,3,5,5,5,3,24
secondary school,63,3,2,5,5,1,3,5,2,1,4,2,2,5,5,2,5,1,5,sometime of the day,5,3,4,2,3,social drinker,smoker,4,4,3,4,5,5,4,5,5,2,2,21
secondary school,48,4,4,5,5,4,4,3,1,2,3,4,3,2,5,5,3,1,5,sometime of the day,5,3,4,1,4,social drinker,smoker,5,2,2,4,4,3,4,5,5,1,1,19
secondary school,80,4,1,4,4,2,4,3,2,4,3,3,1,2,4,4,4,2,2,sometime of the day,5,5,3,1,2,social drinker,smoker,5,3,3,4,4,5,3,4,5,1,3,22
secondary school,47,3,3,1,5,3,4,4,3,2,3,1,5,5,5,5,4,1,5,sometime of the day,4,1,5,4,2,social drinker,never smoked,1,3,3,1,1,4,2,5,5,1,5,18
secondary school,53,5,3,5,5,5,5,1,3,3,2,1,4,5,5,4,4,3,5,sometime of the day,5,3,5,3,5,social drinker,smoker,5,3,4,5,3,1,5,5,5,3,5,22
secondary school,48,5,1,5,5,5,5,4,2,5,4,1,4,2,5,4,5,4,5,sometime of the day,5,4,5,1,5,drink a lot,smoker,3,5,5,1,4,5,5,5,3,1,4,19
college/bachelor degree,53,4,3,1,4,1,3,4,2,3,2,2,4,2,5,5,3,2,1,most of the day,4,5,5,2,3,social drinker,smoker,2,3,5,3,1,3,3,5,5,1,5,22
masters degree,65,4,3,5,3,3,4,4,2,5,4,5,5,1,5,4,4,4,2,sometime of the day,5,4,5,2,2,social drinker,smoker,2,3,3,4,4,4,4,4,3,3,1,24
college/bachelor degree,50,4,3,2,3,2,4,4,2,3,3,5,5,4,2,5,5,2,3,sometime of the day,5,2,3,1,3,social drinker,smoker,5,1,2,4,3,1,5,2,3,5,4,18
secondary school,75,3,5,5,5,1,3,5,1,5,5,5,5,1,5,5,5,1,5,sometime of the day,5,1,3,2,5,drink a lot,smoker,5,1,5,5,1,2,5,3,3,1,2,21
masters degree,50,4,2,5,5,3,4,4,2,4,4,4,5,5,3,3,4,1,2,sometime of the day,4,1,3,1,4,social drinker,smoker,2,3,4,3,1,2,4,3,3,4,3,22
secondary school,58,3,2,3,2,5,3,4,1,1,3,1,5,5,5,4,4,2,3,most of the day,5,1,4,1,4,social drinker,smoker,1,1,3,3,1,2,2,5,5,5,3,19
secondary school,50,3,3,1,1,3,3,3,1,5,4,3,5,2,5,3,5,1,1,sometime of the day,5,5,5,1,3,social drinker,never smoked,1,1,,1,1,3,4,5,5,5,2,18
college/bachelor degree,63,4,4,2,5,3,4,5,2,5,4,2,5,3,2,4,5,2,3,sometime of the day,4,2,5,1,2,social drinker,never smoked,3,4,4,1,1,3,3,4,4,1,4,19
masters degree,80,2,2,2,2,1,2,,5,1,2,2,5,1,3,1,2,2,3,sometime of the day,5,5,4,1,1,drink a lot,smoker,1,4,4,1,1,4,3,4,3,1,4,24
secondary school,68,3,1,4,5,3,4,2,2,3,1,2,1,1,4,4,4,2,3,most of the day,4,5,4,1,4,social drinker,smoker,1,1,1,5,5,4,5,3,2,1,5,21
college/bachelor degree,75,4,2,5,4,3,4,4,1,3,2,5,3,3,5,3,4,1,4,sometime of the day,5,5,4,1,2,drink a lot,smoker,3,2,4,3,5,5,3,4,4,4,5,21
college/bachelor degree,81,3,3,1,3,4,2,3,4,4,2,1,5,1,5,3,1,4,1,sometime of the day,5,1,1,1,2,drink a lot,smoker,1,1,1,1,3,5,1,5,5,1,4,19
primary school,75,4,1,5,2,5,2,4,4,2,3,1,5,1,1,3,4,1,5,most of the day,3,5,4,2,1,drink a lot,smoker,1,1,1,2,5,5,3,5,3,1,5,19
secondary school,70,5,2,1,5,2,5,5,5,3,1,1,5,1,5,5,5,1,1,sometime of the day,5,4,5,1,3,drink a lot,smoker,5,1,1,5,1,5,3,3,1,3,1,22
secondary school,50,5,5,4,5,2,3,4,3,4,4,3,3,5,2,5,4,5,4,sometime of the day,4,1,5,1,4,social drinker,never smoked,4,1,2,4,2,2,1,3,4,2,3,18
secondary school,71,4,4,5,3,1,5,2,3,4,4,1,5,5,5,4,4,5,2,sometime of the day,5,5,4,3,1,drink a lot,smoker,3,2,4,4,4,3,2,5,5,1,3,21
secondary school,90,2,2,1,3,3,4,4,3,4,3,3,5,1,3,4,3,1,3,sometime of the day,5,3,3,1,2,social drinker,smoker,1,2,3,1,1,4,4,5,4,1,3,18
secondary school,55,3,3,3,,3,2,3,4,4,3,4,4,3,3,3,5,4,1,sometime of the day,5,4,5,2,3,social drinker,smoker,2,4,5,1,1,5,5,5,5,2,3,20
secondary school,80,5,1,5,1,1,5,5,1,5,5,5,5,2,1,5,5,1,1,sometime of the day,5,5,4,1,4,drink a lot,smoker,5,4,,5,5,4,5,5,2,4,5,22
secondary school,70,5,1,5,5,1,4,5,2,5,4,5,1,1,4,5,3,2,2,sometime of the day,4,3,3,2,1,drink a lot,smoker,3,2,4,3,3,3,4,4,4,1,2,21
college/bachelor degree,74,4,3,3,4,4,2,5,3,4,3,2,4,2,3,3,3,4,4,sometime of the day,3,3,5,3,3,social drinker,never smoked,1,2,3,1,1,1,2,5,4,1,3,24
secondary school,80,5,3,5,5,5,3,4,2,4,3,4,4,3,3,5,5,1,1,sometime of the day,5,4,4,1,2,social drinker,smoker,5,4,5,4,4,5,3,5,5,3,4,19
secondary school,55,5,1,4,5,1,3,4,1,3,5,5,5,4,1,5,1,5,4,sometime of the day,5,1,4,2,3,social drinker,smoker,2,,2,1,1,2,1,3,3,1,3,18
primary school,61,4,2,3,5,4,4,2,3,2,2,1,3,5,2,4,4,1,3,sometime of the day,2,4,1,1,1,social drinker,never smoked,2,3,4,2,2,3,5,4,4,5,3,17
secondary school,65,2,2,1,3,4,4,4,2,4,3,4,2,2,5,4,3,2,1,sometime of the day,4,5,3,1,3,drink a lot,smoker,3,4,4,2,2,5,4,3,3,1,2,18
college/bachelor degree,70,3,5,4,5,2,5,5,2,3,3,3,4,2,4,5,4,1,3,sometime of the day,4,2,5,1,3,drink a lot,smoker,4,1,3,4,1,4,2,3,4,2,2,21
college/bachelor degree,56,2,1,1,5,5,5,4,2,2,3,2,5,5,5,4,5,2,1,most of the day,5,1,5,2,2,social drinker,smoker,2,4,5,4,3,2,2,4,5,1,3,22
secondary school,54,4,3,5,3,3,4,3,2,3,3,1,5,4,4,4,4,4,3,sometime of the day,4,1,4,3,3,social drinker,never smoked,5,1,4,4,1,3,3,4,4,2,3,20
college/bachelor degree,60,4,4,2,4,3,3,2,3,3,4,3,1,4,2,4,1,3,5,sometime of the day,4,2,5,5,3,social drinker,smoker,2,1,1,4,,1,3,5,5,1,1,21
secondary school,54,5,3,5,3,2,4,4,3,3,4,3,1,2,2,2,5,1,5,sometime of the day,5,3,4,2,3,drink a lot,smoker,1,4,3,2,2,2,4,5,5,3,3,19
secondary school,62,5,5,5,3,3,5,5,2,3,3,5,3,3,3,5,5,3,3,sometime of the day,5,3,4,3,4,social drinker,smoker,5,2,5,5,3,3,5,5,3,5,5,17
college/bachelor degree,61,3,4,5,5,3,4,5,3,5,4,3,5,5,5,3,4,3,4,sometime of the day,4,1,3,1,4,social drinker,smoker,2,1,2,2,1,3,2,5,5,3,1,21
secondary school,55,4,2,2,5,3,4,4,4,5,4,3,4,5,3,4,2,1,5,sometime of the day,2,5,4,2,5,never,never smoked,4,1,1,2,1,2,2,2,4,2,1,18
college/bachelor degree,60,4,5,4,5,2,2,3,2,4,3,4,1,3,2,3,3,2,4,sometime of the day,4,4,5,2,3,social drinker,never smoked,2,1,4,1,2,2,2,2,2,2,2,23
secondary school,54,4,5,1,4,3,4,5,4,5,4,2,5,4,5,5,1,4,3,sometime of the day,3,1,4,2,4,social drinker,smoker,2,2,3,4,2,1,3,3,3,1,2,16
college/bachelor degree,90,5,5,5,1,2,2,5,4,5,2,5,1,1,1,5,4,5,5,most of the day,5,4,5,1,2,drink a lot,never smoked,4,2,4,4,1,2,3,4,4,1,1,23
secondary school,85,3,3,1,5,1,3,4,3,4,2,4,4,1,3,3,2,2,3,sometime of the day,5,4,4,1,2,social drinker,smoker,1,1,2,2,4,3,4,4,3,2,4,21
masters degree,56,4,4,5,5,2,2,5,3,2,3,4,5,4,3,4,3,1,4,sometime of the day,5,2,4,2,3,social drinker,smoker,3,3,5,3,1,2,4,4,4,2,2,23
secondary school,80,4,4,2,4,2,3,2,4,3,3,1,3,5,3,3,3,2,4,sometime of the day,5,3,4,4,3,never,smoker,3,3,3,3,3,1,4,4,2,3,2,20
secondary school,69,4,2,3,2,2,3,5,4,4,3,4,1,1,3,3,4,2,4,sometime of the day,4,5,5,1,2,social drinker,smoker,3,3,5,1,1,5,5,5,5,1,3,20
secondary school,54,4,4,5,5,3,4,4,3,4,4,4,4,4,5,3,4,2,5,sometime of the day,5,2,5,4,3,social drinker,never smoked,3,2,3,3,2,4,3,4,4,4,2,20
secondary school,56,5,3,5,3,3,4,4,1,4,3,3,3,4,2,4,5,1,1,sometime of the day,5,3,3,2,4,social drinker,smoker,1,1,3,4,4,1,2,5,5,4,1,20
primary school,64,4,5,5,4,3,3,5,3,4,2,4,3,4,5,4,4,1,2,most of the day,5,4,4,2,2,social drinker,smoker,2,3,4,3,3,4,4,3,3,4,3,19
primary school,49,4,5,1,3,5,5,3,5,2,3,5,5,5,3,3,5,5,5,sometime of the day,5,5,5,5,2,never,never smoked,5,2,5,5,2,5,4,5,2,5,2,15
secondary school,75,4,3,5,5,2,4,4,3,2,3,2,5,5,5,5,3,4,5,sometime of the day,5,2,3,1,3,social drinker,never smoked,3,1,2,5,2,2,1,5,5,3,3,20
secondary school,66,4,5,5,4,4,4,4,3,4,4,1,2,4,5,5,4,1,1,sometime of the day,5,4,4,2,4,,,3,2,4,2,1,3,5,3,2,5,5,19
primary school,103,2,4,1,5,3,5,2,4,4,2,4,3,1,3,5,4,1,3,sometime of the day,5,4,5,1,4,social drinker,smoker,1,1,2,3,5,4,5,3,3,1,4,18
primary school,51,4,5,1,5,1,4,4,3,4,2,4,4,4,4,5,5,1,5,most of the day,3,3,3,1,2,never,smoker,2,1,1,3,2,5,4,5,2,3,2,15
college/bachelor degree,50,5,2,3,5,3,4,4,2,4,4,3,5,5,4,4,4,1,4,sometime of the day,4,1,5,3,3,social drinker,smoker,3,3,4,2,1,1,1,4,5,2,1,20
secondary school,59,3,1,1,5,5,3,5,1,5,1,3,1,5,5,5,3,3,4,sometime of the day,4,3,3,3,3,social drinker,smoker,4,2,3,4,4,5,3,5,5,5,5,16
secondary school,62,3,4,4,5,4,2,4,1,5,3,2,3,2,4,4,5,1,5,sometime of the day,5,4,4,2,3,drink a lot,smoker,1,3,5,2,3,4,5,3,3,3,4,18
secondary school,90,4,2,5,5,3,4,3,3,4,4,3,5,5,5,4,3,5,3,sometime of the day,5,4,3,4,3,never,never smoked,1,3,3,4,5,3,4,2,2,1,3,21
primary school,,3,4,1,3,5,3,3,4,3,5,4,4,3,3,2,5,3,1,sometime of the day,3,4,3,1,3,never,never smoked,4,2,5,4,4,1,3,5,4,2,1,
secondary school,50,5,5,5,2,5,3,4,5,5,5,4,5,,3,5,5,4,3,sometime of the day,4,1,5,1,3,never,never smoked,3,2,4,2,3,1,2,4,5,1,1,20
college/bachelor degree,53,4,5,4,3,2,5,5,2,4,4,3,5,4,5,5,4,2,5,sometime of the day,5,3,5,2,4,social drinker,smoker,2,2,3,5,5,2,3,4,3,4,4,19
college/bachelor degree,52,4,3,5,5,5,3,5,4,4,4,2,5,5,4,5,5,1,5,sometime of the day,4,1,5,1,3,social drinker,smoker,4,2,2,3,2,5,,5,5,2,1,19
primary school,65,5,2,5,5,1,3,4,2,5,3,1,3,3,4,5,5,4,5,sometime of the day,3,5,5,1,1,social drinker,smoker,5,1,3,1,4,1,1,5,5,5,1,19
primary school,,4,2,3,4,3,1,4,5,2,2,3,2,4,5,4,3,1,1,most of the day,4,5,5,1,5,social drinker,never smoked,3,1,2,4,3,4,2,4,3,4,5,
secondary school,62,5,5,3,5,2,4,3,3,5,3,1,3,5,4,4,3,1,5,most of the day,5,3,3,1,4,social drinker,smoker,3,1,1,4,5,3,2,5,4,4,3,20
